Nume,Calorii,Proteine,Lipide,Carbohidrati
Martipan,480.5,9.3,28.5,46.7
Masline negre,124.7,0.8,10.7,6.3
Masline verzi,156.9,1.0,15.3,3.8
Mazare boabe,315.1,21.5,1.9,53.0
Mazare in apa,46.5,2.4,0.5,8.1
Mazare verde boabe,94.1,8.4,0.5,14.0
Mere,72.4,0.3,0.4,16.9
Miere de albine,326.8,0.4,0.0,81.3
Migdale,608.0,28.0,52.0,7.0
Morcov,43.9,1.5,0.3,8.8
Morcovi baby,15.8,0.7,0.2,2.8
Mozzarella,264.0,20.0,20.0,1.0
Muschi de vita,116.0,19.0,4.0,1.0
Nap,28.0,0.9,0.0,6.4
Naut,303.0,20.0,3.0,49.0
Nectarine,58.5,0.6,0.1,13.8
Nuci,637.0,19.0,57.0,12.0
Nuci,634.0,19.8,60.0,3.7
Nuci de cocos,592.4,8.4,48.8,29.9
Nuci macadamia,732.0,8.0,72.0,13.0
Nuga,563.0,9.0,35.0,53.0
Nuts&Whey GymBeam,555.0,40.0,39.0,11.0
Orez,334.6,5.6,1.0,75.8
Orez decortificat,334.6,5.6,1.0,75.8
Orez expandat (rondele),397.0,8.0,3.0,84.5
Oua intregi,166.4,14.0,12.0,0.6
Paine graham,249.4,9.1,1.0,51.0
Paine grau alba,275.2,10.3,2.0,54.0
Paine grau intermediara,249.2,8.3,0.8,52.2
Paine grau neagra,238.4,8.4,1.2,48.5
Paine secara,232.9,7.8,1.3,47.5
Pak choy,13.0,1.5,0.2,2.2
Parizer - crenvurst - polonez,279.8,10.1,26.6,0.0
Pasta de avocado,347.2,3.8,33.6,7.4
Pasta de tomate,89.2,4.7,0.0,17.6
Paste fainoase,335.0,5.6,1.0,75.9
Paste integrale,339.3,12.5,2.5,66.7
Pastrav,142.6,20.8,6.6,0.0
Pate de ficat,155.6,8.7,12.0,3.2
Patlagele vinete,26.2,1.3,0.2,4.8
Peanut butter GymBeam,601.8,28.9,48.6,12.2
Pepene galben,22.9,0.5,0.1,5.0
Pepene verde,24.5,0.5,0.1,5.4
Pere,71.8,0.6,0.6,16.0
Piept de curcan,114.0,24.0,2.0,0.0
Piept de pui,93.0,21.0,1.0,0.0
Piept de rata,113.4,22.5,2.6,0.0
Piersici,54.1,0.9,0.1,12.4
Portocale,45.4,0.8,0.2,10.1
Porumb fiert,111.1,3.4,1.5,21.0
Praline,439.0,3.0,15.0,73.0
Praz,33.0,2.4,0.7,6.0
Prosciutto crudo,240.9,18.5,18.5,0.1
Proteina whey,368.0,70.0,8.0,4.0
Prune,72.1,0.6,0.1,17.2
Prune,298.5,2.5,0.5,71.0
Pulpa de curcan,174.0,21.0,10.0,0.0
Pulpa de manzat,156.0,21.0,8.0,0.0
Pulpa de manzat lidl caserola,228.0,21.0,16.0,0.0
Pulpa de porc,156.0,21.0,8.0,0.0
Pulpa de pui,129.0,21.0,5.0,0.0
Quinoa,270.2,3.3,5.0,53.0
Radacina pastarnac,68.5,1.0,0.5,15.0
Ridichi,21.9,1.9,0.3,2.9
Rosii,18.0,0.9,0.2,3.9
Salata romana,16.0,1.0,0.0,3.0
Salau de nil,81.2,19.4,0.4,0.0
Sardine,201.9,24.6,11.5,0.0
Scortisoara,349.0,4.0,1.0,81.0
Seminte de canepa,549.0,33.0,41.0,12.0
Seminte de chia,510.7,16.5,30.7,42.1
Seminte de dovleac,565.0,27.0,45.0,13.0
Seminte de floarea soarelui,621.4,19.3,49.8,24.0
Seminte de in,566.8,18.3,42.0,28.9
Seminte de susan,612.1,17.7,49.7,23.5
Sfecla,45.7,1.6,0.1,9.6
Shake CarniPro Myprotein,393.9,87.0,2.3,6.3
Shake Genius Whey-x5,404.05,78.73,7.49,5.43
Shake Genius iWhey,377.0,74.0,5.0,9.0
Shake Myprot Impact DIET Whey,359.5,58.0,7.5,15.0
Shake Myprot Impact Whey Protein,411.5,82.0,7.5,4.0
Shake Scitec 100% Whey Protein Pro,371.1,73.0,6.7,4.7
Sirop de fructe (visine-zmeura),280.36,0.09,0.0,70.0
Slanina,781.0,3.9,85.0,0.0
Smantana 20%,206.4,3.5,20.0,3.1
Smantana 30%,289.2,2.5,30.0,2.3
Smochine,260.9,4.3,1.3,58.0
Somon,170.8,20.0,10.0,0.2
Somon afumat,202.4,20.0,13.6,0.0
Spanac,24.7,3.5,0.3,2.0
Sparanghel,25.3,2.2,0.1,3.9
Stafide,299.3,2.5,0.5,71.2
Struguri,97.7,2.1,1.7,18.5
Suc de tomate,22.8,1.1,0.0,4.6
Sunca presata,313.9,18.4,26.7,0.0
Telemea de oaie,252.0,17.0,20.0,1.0
Telemea de vaca,226.8,17.0,17.2,1.0
Telina (apio),21.0,1.0,0.6,3.0
Tofu,102.0,10.0,6.0,2.0
Ton,89.0,19.0,1.0,1.0
Ton Puerto del Gusto suc propriu,96.5,23.0,0.5,0.0
Tuica,160.0,0.0,0.0,40.0
Ulei de cocos extravirgin,891.0,0.0,99.0,0.0
Ulei de masline,891.0,0.0,99.0,0.0
Ulei de soia,898.2,0.0,99.8,0.0
Unt,762.0,8.0,80.0,2.5
Unt de arahide,629.0,26.0,51.0,14.0
Unt ghee,891.0,0.0,99.0,0.0
Untdelemn de floarea soarelui,899.1,0.0,99.9,0.0
Untura de porc,897.2,0.2,99.6,0.0
Usturoi,134.6,7.2,0.2,26.0
Varza acra,18.0,1.2,0.0,3.3
